[2023-06-01 19:15:37] [PKT : BV        ] 00 01 02 00 00 47 00 e3 50 47 50 bf 69 91 10 12 2d
[2023-06-01 19:15:38] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:38] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:38] [INFO: OSF-LOG   ] {2|ep-218 } RTTTTT|
[2023-06-01 19:15:38] [PKT : BV        ] 00 01 02 00 00 47 00 e3 50 47 50 bf 69 91 10 12 2d
[2023-06-01 19:15:39] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:39] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:39] [INFO: OSF-LOG   ] {2|ep-219 } RTTTTT|
[2023-06-01 19:15:39] [nid : BV        ] 72 0
[2023-06-01 19:15:39] [PKT : BV        ] 00 01 02 00 00 48 00 19 80 c7 be 97 9c de 27 d1 27
[2023-06-01 19:15:39] [new_id: BV        ] 1
[2023-06-01 19:15:39] [INFO: App       ] RX: 19 80 c7 be 97 9c de 27
[2023-06-01 19:15:40] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:40] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:40] [INFO: OSF-LOG   ] {2|ep-220 } RTTTTT|
[2023-06-01 19:15:40] [PKT : BV        ] 00 01 02 00 00 48 00 19 80 c7 be 97 9c de 27 d1 27
[2023-06-01 19:15:41] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:41] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:41] [INFO: OSF-LOG   ] {2|ep-221 } RTTTTT|
[2023-06-01 19:15:41] [PKT : BV        ] 00 01 02 00 00 48 00 19 80 c7 be 97 9c de 27 d1 27
[2023-06-01 19:15:42] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:42] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:42] [INFO: OSF-LOG   ] {2|ep-222 } RTTTTT|
[2023-06-01 19:15:42] [nid : BV        ] 73 0
[2023-06-01 19:15:42] [PKT : BV        ] 00 01 02 00 00 49 00 d1 b5 4a 4e d1 92 dd ae f6 df
[2023-06-01 19:15:42] [new_id: BV        ] 1
[2023-06-01 19:15:42] [INFO: App       ] RX: d1 b5 4a 4e d1 92 dd ae
[2023-06-01 19:15:43] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:43] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:43] [INFO: OSF-LOG   ] {2|ep-223 } RTTTTT|
[2023-06-01 19:15:43] [PKT : BV        ] 00 01 02 00 00 49 00 d1 b5 4a 4e d1 92 dd ae f6 df
[2023-06-01 19:15:44] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:44] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:44] [INFO: OSF-LOG   ] {2|ep-224 } RTTTTT|
[2023-06-01 19:15:44] [PKT : BV        ] 00 01 02 00 00 49 00 d1 b5 4a 4e d1 92 dd ae f6 df
[2023-06-01 19:15:45] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:45] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:45] [INFO: OSF-LOG   ] {2|ep-225 } RTTTTT|
[2023-06-01 19:15:45] [nid : BV        ] 74 0
[2023-06-01 19:15:45] [PKT : BV        ] 00 01 02 00 00 4a 00 63 76 53 ce 1c 25 49 0b ce 44
[2023-06-01 19:15:45] [new_id: BV        ] 1
[2023-06-01 19:15:45] [INFO: App       ] RX: 63 76 53 ce 1c 25 49 0b
[2023-06-01 19:15:46] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:46] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:46] [INFO: OSF-LOG   ] {2|ep-226 } HHRTTT|
[2023-06-01 19:15:46] [PKT : BV        ] 00 01 02 00 00 4a 00 63 76 53 ce 1c 25 49 0b ce 44
[2023-06-01 19:15:47] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:47] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:47] [INFO: OSF-LOG   ] {2|ep-227 } RTTTTT|
[2023-06-01 19:15:47] [PKT : BV        ] 00 01 02 00 00 4a 00 63 76 53 ce 1c 25 49 0b ce 44
[2023-06-01 19:15:48] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:48] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:48] [INFO: OSF-LOG   ] {2|ep-228 } RTTTTT|
[2023-06-01 19:15:48] [nid : BV        ] 75 0
